0,1,2,3
Linear Regression,80879.09723489822,10089009300.894522,0.9179971706834288
Model,MAE,MSE,R2 Score
Robust Regression,200714.83530019587,62803061981.46817,0.48954068544988283
Model,MAE,MSE,R2 Score
Ridge Regression,80882.08068490674,10089716572.554762,0.9179914220241199
Model,MAE,MSE,R2 Score
Lasso Regression,80879.15942634383,10089021397.171637,0.9179970723656538
Model,MAE,MSE,R2 Score
Elastic Net,100124.30560527806,15561491345.783442,0.8735171828391082
Model,MAE,MSE,R2 Score
Polynomial Regression,80886.67208241788,10099268150.572706,0.9179137874022706
Model,MAE,MSE,R2 Score
SGDRegressor,1.6249082544403018e+18,2.68779823118629e+36,-2.1846253979546764e+25
Model,MAE,MSE,R2 Score
ANN,200517.59169175805,62627340804.27078,0.4909689360611442
Model,MAE,MSE,R2 Score
Random Forest,94679.63655646703,14463368052.050123,0.8824426594978104
Model,MAE,MSE,R2 Score
SVM,279212.7242489848,123219501896.69862,-0.001520315935481742
Model,MAE,MSE,R2 Score
LGBM,87681.38040878708,12313469588.940966,0.8999168981926512
Model,MAE,MSE,R2 Score
XGBoost,96076.29387955746,14912750470.898375,0.8787901076275872
Model,MAE,MSE,R2 Score
KNN,203987.4662913469,63314173406.63843,0.48538640412155953
Model,MAE,MSE,R2 Score
